id,P
553,1
554,1
555,1
556,0
557,1
558,1
559,1
560,1
561,1
562,0
563,1
564,1
565,1
566,1
567,0
568,0
569,1
570,0
571,1
572,0
573,0
574,0
575,1
576,0
577,0
578,1
579,0
580,1
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,0
589,1
590,1
591,0
592,1
593,1
594,0
595,1
596,0
597,0
598,1
599,1
600,0
601,1
602,1
603,1
604,1
605,1
606,1
607,0
608,0
609,1
610,0
611,1
612,1
613,1
614,1
615,1
616,1
617,0
618,0
619,1
620,1
621,0
622,1
623,0
624,1
625,1
626,0
627,1
628,1
629,0
630,0
631,0
632,0
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,0
642,0
643,0
644,0
645,1
646,0
647,1
648,1
649,0
650,1
651,1
652,1
653,0
654,0
655,1
656,1
657,1
658,0
659,1
660,0
661,0
662,1
663,0
664,1
665,0
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,0
674,1
675,0
676,1
677,1
678,1
679,1
680,0
681,0
682,0
683,1
684,1
685,1
686,0
687,1
688,0
689,0
690,1
